KEY;en;es;de
META_KEYWORDS_CURRICULUM;amaya pascual cajal, curriculum, developer, javascript, HTML, jQuery, .NET, java, sencha-touch, phonegap, Flash, Flex, technical engineer in informatics management;amaya pascual cajal, curriculum, desarrolladora, programadora, javascript, HTML, jQuery, .NET, java, sencha-touch, phonegap, Flash, Flex, ingeniera técnica en informática de gesión;amaya pascual cajal, curriculum, entwickler, javascript, HTML, jQuery, .NET, java, sencha-touch, phonegap, Flash, Flex
META_KEYWORDS_CONTACT;contact, amaya pascual cajal;contacto, amaya pascual cajal;kontakt, amaya pascual cajal
META_KEYWORDS_IMPRESSUM;impressum, amaya;impressum, amaya;impressum, amaya
META_KEYWORDS_PROJECTS;Amaya Pascual Cajal, projects, software developer, javascript, HTML, jQuery, .NET, java, sencha-touch, phonegap, Flash, Flex;Amaya Pascual Cajal, proyectos, desarrolladora, programadora, javascript, HTML, jQuery, .NET, java, sencha-touch, phonegap, Flash, Flex;Amaya Pascual Cajal, Projekt, Entwickler, javascript, HTML, jQuery, .NET, java, sencha-touch, phonegap, Flash, Flex
META_KEYWORDS_MAP;Amaya Pascual Cajal, developer,map, home, curriculum, projects, blog, contact, impressum;Amaya Pascual Cajal, desarrolladora, programadora,map, inicio, curriculum, proyectos, blog, contacto, impressum;Amaya Pascual Cajal, Entwickler,map, Home, Curriculum, Projekt, Blog, Kontakt, Impressum
META_DESCRIPTION_INDEX;Personal Website - Amaya Pascual Cajal;Página personal de Amaya Pascual Cajal;Persönliche Webseite - Amaya Pascual Cajal
META_DESCRIPTION_BLOG;Blog - Amaya Pascual Cajal;Blog - Amaya Pascual Cajal;Blog - Amaya Pascual Cajal
META_DESCRIPTION_CURRICULUM;Curriculum Amaya Pascual Cajal;Curriculum Amaya Pascual Cajal;Curriculum Amaya Pascual Cajal
META_DESCRIPTION_CONTACT;Contact with Amaya Pascual Cajal;Contactar con Amaya Pascual Cajal;Kontakt mit Amaya Pascual Cajal
META_DESCRIPTION_IMPRESSUM;Impressum - Amaya Pascual Cajal;Impressum - Amaya Pascual Cajal;Impressum - Amaya Pascual Cajal
META_DESCRIPTION_PROJECTS;Proyects in which Amaya Pascual Cajal has participated;Proyectos en los que ha participado Amaya Pascual Cajal;Projekte an denen Amaya Pascual Cajal teilgenommen hat
META_DESCRIPTION_MAP;map - Amaya Pascual Cajal;map - Amaya Pascual Cajal;map - Amaya Pascual Cajal
DESCRIPTION;description;descripción;Beschreibung
ROL;rol;rol;Rolle
TECHNOLOGIES;technologies;tecnologías empleadas;Technologien
